Date,Ticker,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
,,AAPL,AAPL,AAPL,AAPL,,AAPL,TSLA,TSLA,TSLA,TSLA,TSLA,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,AMZN,AMZN,AMZN,AMZN,AMZN,MSFT,MSFT,MSFT,MSFT,MSFT,NVDA,NVDA,NVDA,NVDA,NVDA,GC=F,GC=F,GC=F,GC=F,GC=F
2023-01-03,AAPL,128.4681939201586,129.07956676089162,122.44316513126005,123.33065032958984,123.33065032958984,112117500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-04,AAPL,125.1253349737568,126.87072372434358,123.34050912530462,124.60270690917969,124.60270690917969,89113600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,AAPL,125.36200610905166,125.99310505602139,123.02497040718632,123.2813491821289,123.2813491821289,80962700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-06,AAPL,124.25757880895641,128.4780480462767,123.15315196037015,127.81736755371094,127.81736755371094,87754700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-09,AAPL,128.6555533163335,131.55466910779157,128.08361757784448,128.33999633789062,128.33999633789062,70790800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-10,AAPL,128.44846138243565,129.43455432577363,126.33822308555574,128.91192626953125,128.91192626953125,63896200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-11,AAPL,129.4246914378982,131.6532559460779,128.64568467754964,131.633544921875,131.633544921875,69458900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-12,AAPL,132.01813716022232,132.39284227281698,129.6120678053339,131.55467224121094,131.55467224121094,71379600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-13,AAPL,130.1938350469048,133.04364272167805,129.82898551497536,132.8858642578125,132.8858642578125,57809700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-17,AAPL,132.95492042575748,135.38070076927318,132.26465833803292,134.0494842529297,134.0494842529297,63646600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-18,AAPL,134.91724588612811,136.68234566241608,133.15213106325567,133.3296356201172,133.3296356201172,69672800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-19,AAPL,132.21535608370812,134.3551761664197,131.90966964997585,133.38880920410156,133.38880920410156,58280400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-20,AAPL,133.3986295227189,136.10052914550886,132.35337358769686,135.95260620117188,135.95260620117188,80223600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-23,AAPL,136.19915953850284,141.32685514540398,135.9822178760608,139.1475830078125,139.1475830078125,81760300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-24,AAPL,138.35870860544603,141.1690797184196,138.34885309206118,140.54783630371094,140.54783630371094,66435100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-25,AAPL,138.93064978868992,140.44922647148869,136.87957443059517,139.8871612548828,139.8871612548828,65799300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-26,AAPL,141.17892492583348,142.24390711048304,139.9265826744515,141.95794677734375,141.95794677734375,54105100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-27,AAPL,141.16907645645273,145.18246711281154,141.09018721144076,143.90054321289062,143.90054321289062,70555800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-30,AAPL,142.94400936579723,143.52580046777817,140.86335309483502,141.01126098632812,141.01126098632812,64015300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-31,AAPL,140.71547141700836,142.3326633733732,140.30131415280843,142.28335571289062,142.28335571289062,65874500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-01,AAPL,141.96779872652098,144.57108343034756,139.35465851027638,143.40748596191406,143.40748596191406,77663600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-02,AAPL,146.82923768896234,149.07752846410273,146.10939403157928,148.72254943847656,148.72254943847656,118339000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-03,AAPL,145.97132678498124,155.1913011660709,145.77411121969988,152.35134887695312,152.35134887695312,154357300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-06,AAPL,150.4482178700856,150.97084596204795,148.68310295478358,149.61988830566406,149.61988830566406,69858300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-07,AAPL,148.54505515759215,153.07121860652774,148.54505515759215,152.49928283691406,152.49928283691406,83322600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-08,AAPL,151.73999993153234,152.4302620416696,149.06768120571854,149.8072509765625,149.8072509765625,64120100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-09,AAPL,151.64135380753217,152.1837078719676,148.3280813053058,148.77182006835938,148.77182006835938,56007100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-10,AAPL,147.60648709847575,149.46316214008027,147.3694580195322,149.1372528076172,149.1372528076172,57450700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-13,AAPL,149.07800220373113,152.3469510828992,149.0483754519819,151.94204711914062,151.94204711914062,62199000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-14,AAPL,150.233471212628,151.86301769491905,148.9891025921519,151.30007934570312,151.30007934570312,61707600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15,AAPL,151.21120146838675,153.5715611952289,150.98405804107867,153.40367126464844,153.40367126464844,65573800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-16,AAPL,151.60627069499915,154.39130625656546,151.44826635619526,151.80380249023438,151.80380249023438,68167900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-17,AAPL,150.46062541961737,151.1025583652421,148.97922778858558,150.65814208984375,150.65814208984375,59144100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-21,AAPL,148.33731221810694,149.4236767462983,146.56951728902385,146.63864135742188,146.63864135742188,58867200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-22,AAPL,147.0237658241407,148.09037388155102,145.3349810354075,147.0632781982422,147.0632781982422,51011300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-23,AAPL,148.22865607328114,148.47555569965527,145.4140093743504,147.54721069335938,147.54721069335938,48394200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
